NODE TYPE,NODE NAME,EDGE TYPE,NODE TYPE,NODE NAME,Weight
Airport,Erzincan Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Erzincan Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Hatay Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Hatay Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Hatay Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Kahramanmaraş Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Kahramanmaraş Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Kahramanmaraş Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Kars Harakani Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Kars Harakani Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Kars Harakani Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Kayseri Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Kayseri Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Kayseri Havalimanı,HAS A FLIGHT TO,Airport,Antalya Havalimanı,1
Airport,Konya Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Konya Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Malatya Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Malatya Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Malatya Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,Gaziantep Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,Diyarbakır Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,Adana Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,Samsun Çarşamba Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,Antalya Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,Mardin Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,Sivas Nuri Demirağ Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,Kars Harakani Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,Van Ferit Melen Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,Trabzon Havalimanı,1
Airport,İzmir Adnan Menderes Havalimanı,HAS A FLIGHT TO,Airport,Erzurum Havalimanı,1
Airport,Mardin Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Mardin Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Samsun Çarşamba Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Samsun Çarşamba Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Samsun Çarşamba Havalimanı,HAS A FLIGHT TO,Airport,İzmir Adnan Menderes Havalimanı,1
Airport,Samsun Çarşamba Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Sivas Nuri Demirağ Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Sivas Nuri Demirağ Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Sivas Nuri Demirağ Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Sivas Nuri Demirağ Havalimanı,HAS A FLIGHT TO,Airport,İzmir Adnan Menderes Havalimanı,1
Airport,Şanlıurfa Gap Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Şanlıurfa Gap Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Şanlıurfa Gap Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Tekirdağ Çorlu Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Antalya Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Antalya Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Antalya Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Antalya Havalimanı,HAS A FLIGHT TO,Airport,Kayseri Havalimanı,1
Airport,Van Ferit Melen Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Van Ferit Melen Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Van Ferit Melen Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Van Ferit Melen Havalimanı,HAS A FLIGHT TO,Airport,Adana Havalimanı,1
Airport,Van Ferit Melen Havalimanı,HAS A FLIGHT TO,Airport,Antalya Havalimanı,1
Airport,Van Ferit Melen Havalimanı,HAS A FLIGHT TO,Airport,İzmir Adnan Menderes Havalimanı,1
Airport,Antalya Gazipaşa - Alanya Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Antalya Gazipaşa - Alanya Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
